,0
770,"""IA"""
771,"""IA"""
772,"""IA"""
773,"""IA"""
774,"""IA"""
775,"""IA"""
776,"""IA"""
777,"""IA"""
778,"""IA"""
779,"""IA"""
780,"""IA"""
781,"""IA"""
782,"""IA"""
783,"""IA"""
784,"""IA"""
785,"""IA"""
786,"""IA"""
787,"""IA"""
788,"""IA"""
789,"""IA"""
790,"""IA"""
791,"""IA"""
792,"""IA"""
793,"""IA"""
794,"""IA"""
795,"""IA"""
796,"""IA"""
797,"""IA"""
798,"""IA"""
799,"""IA"""
800,"""IA"""
801,"""IA"""
802,"""IA"""
803,"""IA"""
804,"""IA"""
805,"""IA"""
806,"""IA"""
807,"""IA"""
808,"""IA"""
809,"""IA"""
810,"""IA"""
811,"""IA"""
812,"""IA"""
813,"""IA"""
814,"""IA"""
815,"""IA"""
816,"""IA"""
817,"""IA"""
818,"""IA"""
819,"""IA"""
820,"""IA"""
821,"""IA"""
822,"""IA"""
823,"""IA"""
824,"""IA"""
825,"""IA"""
826,"""IA"""
827,"""IA"""
828,"""IA"""
829,"""IA"""
830,"""IA"""
831,"""IA"""
832,"""IA"""
833,"""IA"""
834,"""IA"""
835,"""IA"""
836,"""IA"""
837,"""IA"""
838,"""IA"""
839,"""IA"""
840,"""IA"""
841,"""IA"""
842,"""IA"""
843,"""IA"""
844,"""IA"""
845,"""IA"""
846,"""IA"""
847,"""IA"""
848,"""IA"""
849,"""IA"""
850,"""IA"""
851,"""IA"""
852,"""IA"""
853,"""IA"""
854,"""IA"""
855,"""IA"""
856,"""IA"""
857,"""IA"""
858,"""IA"""
859,"""IA"""
860,"""IA"""
861,"""IA"""
862,"""IA"""
863,"""IA"""
864,"""IA"""
865,"""IA"""
866,"""IA"""
867,"""IA"""
868,"""IA"""
869,"""IA"""
870,"""IA"""
871,"""IA"""
872,"""IA"""
873,"""IA"""
874,"""IA"""
875,"""IA"""
876,"""IA"""
877,"""IA"""
878,"""IA"""
879,"""IA"""
880,"""IA"""
881,"""IA"""
882,"""IA"""
883,"""IA"""
884,"""IA"""
885,"""IA"""
886,"""IA"""
887,"""IA"""
888,"""IA"""
889,"""IA"""
890,"""IA"""
891,"""IA"""
892,"""IA"""
893,"""IA"""
894,"""IA"""
895,"""IA"""
896,"""IA"""
897,"""IA"""
898,"""IA"""
899,"""IA"""
900,"""IA"""
901,"""IA"""
902,"""IA"""
903,"""IA"""
904,"""IA"""
905,"""IA"""
906,"""IA"""
907,"""IA"""
908,"""IA"""
909,"""IA"""
910,"""IA"""
911,"""IA"""
912,"""IA"""
913,"""IA"""
914,"""IA"""
915,"""IA"""
916,"""IA"""
917,"""IA"""
918,"""IA"""
919,"""IA"""
920,"""IA"""
921,"""IA"""
922,"""IA"""
923,"""IA"""
924,"""IA"""
925,"""IA"""
926,"""IA"""
927,"""IA"""
928,"""IA"""
929,"""IA"""
930,"""IA"""
931,"""IA"""
932,"""IA"""
933,"""IA"""
934,"""IA"""
935,"""IA"""
936,"""IA"""
937,"""IA"""
938,"""IA"""
939,"""IA"""
940,"""IA"""
941,"""IA"""
942,"""IA"""
943,"""IA"""
944,"""IA"""
945,"""IA"""
946,"""IA"""
947,"""IA"""
948,"""IA"""
949,"""IA"""
950,"""IA"""
951,"""IA"""
952,"""IA"""
953,"""IA"""
954,"""IA"""
955,"""IA"""
956,"""IA"""
957,"""IA"""
958,"""IA"""
959,"""IA"""
960,"""IA"""
961,"""IA"""
962,"""IA"""
963,"""IA"""
964,"""IA"""
965,"""IA"""
966,"""IA"""
967,"""IA"""
968,"""IA"""
969,"""IA"""
970,"""IA"""
971,"""IA"""
972,"""IA"""
973,"""IA"""
974,"""IA"""
975,"""IA"""
976,"""IA"""
977,"""IA"""
978,"""IA"""
979,"""IA"""
980,"""IA"""
981,"""IA"""
982,"""IA"""
983,"""IA"""
984,"""IA"""
985,"""IA"""
986,"""IA"""
987,"""IA"""
988,"""IA"""
989,"""IA"""
990,"""IA"""
991,"""IA"""
992,"""IA"""
993,"""IA"""
994,"""IA"""
995,"""IA"""
996,"""IA"""
997,"""IA"""
998,"""IA"""
999,"""IA"""
1000,"""IA"""
1001,"""IA"""
1002,"""IA"""
1003,"""IA"""
1004,"""IA"""
1005,"""IA"""
1006,"""IA"""
1007,"""IA"""
1008,"""IA"""
1009,"""IA"""
1010,"""IA"""
1011,"""IA"""
1012,"""IA"""
1013,"""IA"""
1014,"""IA"""
1015,"""IA"""
1016,"""IA"""
1017,"""IA"""
1018,"""IA"""
1019,"""IA"""
1020,"""IA"""
1021,"""IA"""
1022,"""IA"""
1023,"""IA"""
1024,"""IA"""
1025,"""IA"""
1026,"""IA"""
1027,"""IA"""
1028,"""IA"""
1029,"""IA"""
1030,"""IA"""
1031,"""IA"""
1032,"""IA"""
1033,"""IA"""
1034,"""IA"""
1035,"""IA"""
1036,"""IA"""
1037,"""IA"""
1038,"""IA"""
1039,"""IA"""
1040,"""IA"""
1041,"""IA"""
1042,"""IA"""
1043,"""IA"""
1044,"""IA"""
1045,"""IA"""
1046,"""IA"""
1047,"""IA"""
1048,"""IA"""
1049,"""IA"""
1050,"""IA"""
1051,"""IA"""
1052,"""IA"""
1053,"""IA"""
1054,"""IA"""
1055,"""IA"""
1056,"""IA"""
1057,"""IA"""
1058,"""IA"""
1059,"""IA"""
1060,"""IA"""
1061,"""IA"""
1062,"""IA"""
1063,"""IA"""
1064,"""IA"""
1065,"""IA"""
1066,"""IA"""
1067,"""IA"""
1068,"""IA"""
1069,"""IA"""
1070,"""IA"""
1071,"""IA"""
1072,"""IA"""
1073,"""IA"""
1074,"""IA"""
1075,"""IA"""
1076,"""IA"""
1077,"""IA"""
1078,"""IA"""
1079,"""IA"""
1080,"""IA"""
1081,"""IA"""
1082,"""IA"""
1083,"""IA"""
1084,"""IA"""
1085,"""IA"""
1086,"""IA"""
1087,"""IA"""
1088,"""IA"""
1089,"""IA"""
1090,"""IA"""
1091,"""IA"""
1092,"""IA"""
1093,"""IA"""
1094,"""IA"""
1095,"""IA"""
1096,"""IA"""
1097,"""IA"""
1098,"""IA"""
1099,"""IA"""
1100,"""IA"""
1101,"""IA"""
1102,"""IA"""
1103,"""IA"""
1104,"""IA"""
1105,"""IA"""
1106,"""IA"""
1107,"""IA"""
1108,"""IA"""
1109,"""IA"""
1110,"""IA"""
1111,"""IA"""
1112,"""IA"""
1113,"""IA"""
1114,"""IA"""
1115,"""IA"""
1116,"""IA"""
1117,"""IA"""
1118,"""IA"""
1119,"""IA"""
1120,"""IA"""
1121,"""IA"""
1122,"""IA"""
1123,"""IA"""
1124,"""IA"""
1125,"""IA"""
1126,"""IA"""
1127,"""IA"""
1128,"""IA"""
1129,"""IA"""
1130,"""IA"""
1131,"""IA"""
1132,"""IA"""
1133,"""IA"""
1134,"""IA"""
1135,"""IA"""
1136,"""IA"""
1137,"""IA"""
1138,"""IA"""
1139,"""IA"""
1140,"""IA"""
1141,"""IA"""
1142,"""IA"""
1143,"""IA"""
1144,"""IA"""
1145,"""IA"""
1146,"""IA"""
1147,"""IA"""
1148,"""IA"""
1149,"""IA"""
1150,"""IA"""
1151,"""IA"""
1152,"""IA"""
1153,"""IA"""
1154,"""IA"""
1155,"""IA"""
1156,"""IA"""
1157,"""IA"""
1158,"""IA"""
1159,"""IA"""
1160,"""IA"""
1161,"""IA"""
1162,"""IA"""
1163,"""IA"""
1164,"""IA"""
1165,"""IA"""
1166,"""IA"""
1167,"""IA"""
1168,"""IA"""
1169,"""IA"""
1170,"""IA"""
1171,"""IA"""
1172,"""IA"""
1173,"""IA"""
1174,"""IA"""
1175,"""IA"""
